GameID,WhiteName,WhiteElo,BlackName,BlackElo,Year,Opening,Variation,Average_CPL_White,Average_CPL_Black,MoveNumber,Move,CPL,Evaluation
1,,,,,,,,,,47,Bb3,20,1.31
1,,,,,,,,,,48,Rb4,133,2.64
1,,,,,,,,,,49,dxe6,3,2.72
1,,,,,,,,,,50,fxe6,17,2.85
1,,,,,,,,,,51,Nf5,17,2.86
1,,,,,,,,,,52,Qd7,13,3.0
1,,,,,,,,,,53,Ned4,59,2.81
1,,,,,,,,,,54,d5,77,3.36
1,,,,,,,,,,55,Nxg7,28,3.82
1,,,,,,,,,,56,Kxg7,13,4.07
1,,,,,,,,,,57,Qd2,6,3.97
1,,,,,,,,,,58,Rb8,45,4.49
1,,,,,,,,,,59,Rac1,132,3.15
1,,,,,,,,,,60,Rxc1,11,3.2
1,,,,,,,,,,61,Rxc1,8,3.21
1,,,,,,,,,,62,Kg8,1,3.3
1,,,,,,,,,,63,Qe3,9,3.21
1,,,,,,,,,,64,Nf7,27,3.61
1,,,,,,,,,,65,e5,55,3.18
1,,,,,,,,,,66,Rc8,8,3.24
1,,,,,,,,,,67,Re1,27,3.12
1,,,,,,,,,,68,Bc6,126,4.38
1,,,,,,,,,,69,Qd3,8,4.51
1,,,,,,,,,,70,Nd8,34,4.9
1,,,,,,,,,,71,Qxa6,103,3.93
1,,,,,,,,,,72,Rb8,38,4.44
1,,,,,,,,,,73,Qd3,34,4.34
1,,,,,,,,,,74,Bb5,50,5.12
1,,,,,,,,,,75,Nxb5,26,6.25
1,,,,,,,,,,76,Qxb5,1,6.6
1,,,,,,,,,,77,Qg6+,8,6.66
1,,,,,,,,,,78,Kf8,0,6.66
1,,,,,,,,,,79,Re3,180,4.91
1,,,,,,,,,,80,Nf7,108,6.34
1,,,,,,,,,,81,Rf3,108,7.53
,,,,,,,,,,,,,
2,"Rapport,R",2715,"Mamedov,Rau",2637,2024,Sicilian,Nimzovich-Rossolimo attack (without ...d6),40.3,39.22,1,e4,10,0.36
2,,,,,,,,,,2,c5,6,0.3
2,,,,,,,,,,3,Nf3,3,0.35
2,,,,,,,,,,4,Nc6,1,0.34
2,,,,,,,,,,5,Bb5,1,0.35
2,,,,,,,,,,6,Nf6,10,0.39
2,,,,,,,,,,7,Bxc6,3,0.34
2,,,,,,,,,,8,dxc6,1,0.35
2,,,,,,,,,,9,d3,0,0.43
2,,,,,,,,,,10,Qc7,2,0.48
2,,,,,,,,,,11,b3,24,0.23
2,,,,,,,,,,12,g6,14,0.35
2,,,,,,,,,,13,Bb2,5,0.42
2,,,,,,,,,,14,Bg7,0,0.36
2,,,,,,,,,,15,Be5,2,0.35
2,,,,,,,,,,16,Qa5+,1,0.32
2,,,,,,,,,,17,Bc3,0,0.35
2,,,,,,,,,,18,Qc7,6,0.34
2,,,,,,,,,,19,Be5,0,0.32
2,,,,,,,,,,20,Qa5+,2,0.29
2,,,,,,,,,,21,Nbd2,10,0.21
2,,,,,,,,,,22,Bg4,11,0.42
2,,,,,,,,,,23,O-O,3,0.43
2,,,,,,,,,,24,Bxf3,6,0.5
2,,,,,,,,,,25,Nxf3,10,0.49
2,,,,,,,,,,26,O-O,33,0.79
2,,,,,,,,,,27,Re1,32,0.41
2,,,,,,,,,,28,Nh5,5,0.41
2,,,,,,,,,,29,Bxg7,8,0.32
2,,,,,,,,,,30,Nxg7,2,0.27
2,,,,,,,,,,31,Qc1,1,0.29
2,,,,,,,,,,32,f6,45,0.76
2,,,,,,,,,,33,e5,6,0.61
2,,,,,,,,,,34,f5,3,0.59
2,,,,,,,,,,35,e6,1,0.61
2,,,,,,,,,,36,Rf6,86,1.45
2,,,,,,,,,,37,b4,137,0.29
2,,,,,,,,,,38,cxb4,4,0.29
2,,,,,,,,,,39,Qh6,1,0.3
2,,,,,,,,,,40,g5,1,0.28
2,,,,,,,,,,41,Qxg5,4,0.27
2,,,,,,,,,,42,Qc5,0,0.24
2,,,,,,,,,,43,Re2,6,0.19
2,,,,,,,,,,44,Rg6,24,0.38
2,,,,,,,,,,45,Qh4,9,0.33
2,,,,,,,,,,46,Qd5,95,1.23
2,,,,,,,,,,47,Kf1,20,0.94
2,,,,,,,,,,48,Qd6,35,1.17
2,,,,,,,,,,49,Ng5,8,1.32
2,,,,,,,,,,50,h5,1,1.3
2,,,,,,,,,,51,Rae1,13,1.37
2,,,,,,,,,,52,Qc5,4,1.39
2,,,,,,,,,,53,Nf7,1,1.4
2,,,,,,,,,,54,Re8,117,2.57
2,,,,,,,,,,55,h3,147,1.08
2,,,,,,,,,,56,a5,128,1.94
2,,,,,,,,,,57,Ne5,10,1.88
2,,,,,,,,,,58,Rxe6,300,4.92
2,,,,,,,,,,59,Qg5,381,1.16
2,,,,,,,,,,60,Qd5,1,0.93
2,,,,,,,,,,61,Ng6,33,0.58
2,,,,,,,,,,62,Rxe2,10,0.37
2,,,,,,,,,,63,Rxe2,10,0.26
2,,,,,,,,,,64,Kf7,236,2.47
2,,,,,,,,,,65,Nxe7,250,0.0
2,,,,,,,,,,66,Qxa2,227,2.27
2,,,,,,,,,,67,Qg6+,9,2.67
2,,,,,,,,,,68,Kf8,13,2.59
2,,,,,,,,,,69,Qf6+,0,2.66
2,,,,,,,,,,70,Qf7,0,2.66
2,,,,,,,,,,71,Qh6,6,2.69
2,,,,,,,,,,72,Qa2,8,2.66
2,,,,,,,,,,73,Qf6+,1,2.65
2,,,,,,,,,,74,Qf7,0,2.66
2,,,,,,,,,,75,Qh6,1,2.69
2,,,,,,,,,,76,Qa2,1,2.73
2,,,,,,,,,,77,Ng6+,303,-0.33
2,,,,,,,,,,78,Kf7,2,-0.29
2,,,,,,,,,,79,Rxe8,4,-0.25
2,,,,,,,,,,80,Kxe8,267,2.5
2,,,,,,,,,,81,Qxg7,73,1.68
2,,,,,,,,,,82,Qb1+,29,1.94
2,,,,,,,,,,83,Ke2,15,1.87
2,,,,,,,,,,84,Qxc2+,21,2.07
2,,,,,,,,,,85,Ke3,10,2.18
2,,,,,,,,,,86,Qc1+,65,2.74
2,,,,,,,,,,87,Kf3,14,3.16
2,,,,,,,,,,88,Qd1+,39,3.65
2,,,,,,,,,,89,Kf4,47,3.96
2,,,,,,,,,,90,Qd2+,156,5.46
2,,,,,,,,,,91,Ke5,15,5.46
2,,,,,,,,,,92,Qe2+,0,M8
2,,,,,,,,,,93,Kf6,0,M8
2,,,,,,,,,,94,Kd8,0,M7
2,,,,,,,,,,95,Ne5,0,5.83
2,,,,,,,,,,96,Kc8,13,6.03
2,,,,,,,,,,97,Qf8+,24,6.14
2,,,,,,,,,,98,Kc7,7,6.35
2,,,,,,,,,,99,Qe7+,0,6.22
2,,,,,,,,,,100,Kc8,464,10.92
2,,,,,,,,,,101,Qf8+,21,11.68
2,,,,,,,,,,102,Kc7,26,12.6
2,,,,,,,,,,103,Nc4,899,3.36
2,,,,,,,,,,104,Qxd3,8,3.81
2,,,,,,,,,,105,Qe7+,21,4.01
2,,,,,,,,,,106,Kb8,11,4.22
2,,,,,,,,,,107,Qe5+,1,4.18
2,,,,,,,,,,108,Ka7,3,4.39
2,,,,,,,,,,109,Qxa5+,18,4.6
2,,,,,,,,,,110,Kb8,7,4.63
2,,,,,,,,,,111,Qe5+,77,3.86
2,,,,,,,,,,112,Ka8,7,4.71
2,,,,,,,,,,113,Qa5+,2,4.59
2,,,,,,,,,,114,Kb8,2,4.73
2,,,,,,,,,,115,Qxb4,5,4.8
2,,,,,,,,,,116,Qd4+,5,4.71
2,,,,,,,,,,117,Ke6,1,4.82
2,,,,,,,,,,118,Qd5+,1,4.84
2,,,,,,,,,,119,Ke7,7,4.82
2,,,,,,,,,,120,Qe4+,31,5.25
2,,,,,,,,,,121,Kd7,1,5.43
2,,,,,,,,,,122,Qxg2,0,M14
2,,,,,,,,,,123,Qf8+,0,M14
2,,,,,,,,,,124,Ka7,0,M7
2,,,,,,,,,,125,Kc8,0,10.26
2,,,,,,,,,,126,Ka6,64,10.73
2,,,,,,,,,,127,Qa3+,57,10.2
2,,,,,,,,,,128,Kb5,0,M14
2,,,,,,,,,,129,Nd6+,0,M14
2,,,,,,,,,,130,Kb6,0,M13
2,,,,,,,,,,131,Qb4+,0,M13
2,,,,,,,,,,132,Ka6,0,M12
2,,,,,,,,,,133,Kb8,0,5.57
2,,,,,,,,,,134,Qh2,0,M2
2,,,,,,,,,,135,Qa3+,0,M2
2,,,,,,,,,,136,Kb6,0,M1
2,,,,,,,,,,137,Qa7#,0,M1
,,,,,,,,,,,,,
3,"Mamedyarov,S",2733,"Mamedov,Rau",2637,2024,QGD,"exchange, Saemisch variation",12.54,12.38,1,d4,5,0.21
3,,,,,,,,,,2,d5,9,0.3
3,,,,,,,,,,3,c4,0,0.26
3,,,,,,,,,,4,e6,6,0.31
3,,,,,,,,,,5,Nf3,1,0.22
3,,,,,,,,,,6,Nf6,5,0.19
3,,,,,,,,,,7,Nc3,9,0.09
3,,,,,,,,,,8,Nbd7,5,0.23
3,,,,,,,,,,9,cxd5,2,0.16
3,,,,,,,,,,10,exd5,2,0.18
3,,,,,,,,,,11,Bf4,1,0.17
3,,,,,,,,,,12,c6,2,0.18
3,,,,,,,,,,13,e3,15,0.04
3,,,,,,,,,,14,Nh5,5,0.18
3,,,,,,,,,,15,Bg5,6,0.21
3,,,,,,,,,,16,Nhf6,29,0.52
3,,,,,,,,,,17,Bd3,3,0.54
3,,,,,,,,,,18,Bd6,16,0.7
3,,,,,,,,,,19,O-O,16,0.63
3,,,,,,,,,,20,O-O,10,0.72
3,,,,,,,,,,21,Qc2,3,0.72
3,,,,,,,,,,22,h6,1,0.71
3,,,,,,,,,,23,Bh4,4,0.75
3,,,,,,,,,,24,Re8,2,0.71
3,,,,,,,,,,25,Rae1,15,0.55
3,,,,,,,,,,26,Be7,0,0.55
3,,,,,,,,,,27,Bg3,3,0.58
3,,,,,,,,,,28,a5,109,1.68
3,,,,,,,,,,29,Nb5,4,1.88
3,,,,,,,,,,30,Bb4,6,1.89
3,,,,,,,,,,31,Nc7,2,1.9
3,,,,,,,,,,32,Bxe1,3,1.76
3,,,,,,,,,,33,Nxa8,3,1.69
3,,,,,,,,,,34,Bb4,8,1.76
3,,,,,,,,,,35,a3,1,1.8
3,,,,,,,,,,36,Bf8,1,1.79
3,,,,,,,,,,37,Bc7,7,1.7
3,,,,,,,,,,38,Qe7,4,1.73
3,,,,,,,,,,39,Bxa5,1,1.68
3,,,,,,,,,,40,Ne4,8,1.72
3,,,,,,,,,,41,Nc7,1,1.7
3,,,,,,,,,,42,Rd8,5,1.76
3,,,,,,,,,,43,Nxd5,27,1.45
3,,,,,,,,,,44,cxd5,11,1.31
3,,,,,,,,,,45,Bxd8,7,1.34
3,,,,,,,,,,46,Qxd8,3,1.25
3,,,,,,,,,,47,Bxe4,45,0.9
3,,,,,,,,,,48,dxe4,13,1.09
3,,,,,,,,,,49,Qxe4,5,1.06
3,,,,,,,,,,50,Nf6,1,1.03
3,,,,,,,,,,51,Qd3,6,1.0
3,,,,,,,,,,52,Qd5,1,1.09
3,,,,,,,,,,53,Rc1,28,0.88
3,,,,,,,,,,54,Be6,2,0.86
3,,,,,,,,,,55,Nd2,2,0.85
3,,,,,,,,,,56,Bf5,11,0.91
3,,,,,,,,,,57,Qb3,1,0.89
3,,,,,,,,,,58,Qa5,14,1.08
3,,,,,,,,,,59,Nf3,10,0.81
3,,,,,,,,,,60,Qa6,29,1.15
3,,,,,,,,,,61,Ne5,0,1.06
3,,,,,,,,,,62,Be6,4,1.05
3,,,,,,,,,,63,Qd3,3,1.02
3,,,,,,,,,,64,Qd6,55,1.6
3,,,,,,,,,,65,e4,22,1.26
3,,,,,,,,,,66,Nh5,26,1.35
3,,,,,,,,,,67,g3,27,1.04
3,,,,,,,,,,68,g6,48,1.5
3,,,,,,,,,,69,Nc4,4,1.43
3,,,,,,,,,,70,Qd8,30,1.75
3,,,,,,,,,,71,d5,5,1.73
3,,,,,,,,,,72,Bh3,32,2.0
3,,,,,,,,,,73,e5,2,1.74
3,,,,,,,,,,74,Bg7,71,2.54
3,,,,,,,,,,75,Re1,55,2.36
3,,,,,,,,,,76,b5,20,2.76
3,,,,,,,,,,77,Nd6,36,2.24
3,,,,,,,,,,78,Bxe5,0,2.32
3,,,,,,,,,,79,Nxf7,5,2.38
3,,,,,,,,,,80,Kxf7,12,2.3
3,,,,,,,,,,81,Rxe5,1,2.39
3,,,,,,,,,,82,Qf6,67,2.99
3,,,,,,,,,,83,Qe3,187,1.19
3,,,,,,,,,,84,Ng7,78,1.93
3,,,,,,,,,,85,f4,80,1.19
3,,,,,,,,,,86,Kg8,8,1.2
3,,,,,,,,,,87,Qc5,42,0.76
3,,,,,,,,,,88,Qa6,13,0.81
3,,,,,,,,,,89,Re1,82,0.0
3,,,,,,,,,,90,b4,0,0.0
3,,,,,,,,,,91,axb4,0,0.0
3,,,,,,,,,,92,Qd3,0,0.0
3,,,,,,,,,,93,b5,4,0.0
3,,,,,,,,,,94,Qd2,0,0.0
3,,,,,,,,,,95,Qf2,0,0.0
3,,,,,,,,,,96,Qxd5,3,-0.03
3,,,,,,,,,,97,b6,0,0.0
3,,,,,,,,,,98,Nf5,0,0.0
3,,,,,,,,,,99,Re5,0,0.0
3,,,,,,,,,,100,Qd1+,0,0.0
3,,,,,,,,,,101,Qe1,0,0.0
3,,,,,,,,,,102,Qd4+,0,0.0
3,,,,,,,,,,103,Qf2,0,0.0
3,,,,,,,,,,104,Qd1+,0,0.0
3,,,,,,,,,,105,Re1,0,0.0
3,,,,,,,,,,106,Qd5,0,0.0
3,,,,,,,,,,107,Qe2,0,0.0
3,,,,,,,,,,108,Qc5+,0,0.0
3,,,,,,,,,,109,Kh1,0,0.0
3,,,,,,,,,,110,Nd6,0,0.0
3,,,,,,,,,,111,g4,0,0.0
3,,,,,,,,,,112,Qc6+,0,0.0
3,,,,,,,,,,113,Kg1,0,0.0
3,,,,,,,,,,114,Qxb6+,0,0.0
3,,,,,,,,,,115,Qe3,2,0.02
3,,,,,,,,,,116,Qxe3+,3,0.0
3,,,,,,,,,,117,Rxe3,0,0.0
3,,,,,,,,,,118,Bxg4,0,0.0
3,,,,,,,,,,119,b4,0,0.0
3,,,,,,,,,,120,Kf7,0,0.0
3,,,,,,,,,,121,Re5,0,0.0
3,,,,,,,,,,122,Bd7,0,0.0
3,,,,,,,,,,123,Kf2,0,0.0
3,,,,,,,,,,124,Kf6,0,0.0
3,,,,,,,,,,125,h4,9,-0.09
3,,,,,,,,,,126,Bc6,10,0.0
3,,,,,,,,,,127,Ke2,15,-0.1
3,,,,,,,,,,128,Bb5+,3,-0.13
3,,,,,,,,,,129,Kf3,1,-0.04
3,,,,,,,,,,130,Bc6+,1,-0.07
,,,,,,,,,,,,,
4,"Aravindh,Chithambaram VR.",2698,"Rapport,R",2715,2024,Caro-Kann,advance variation,34.42,25.58,1,e4,10,0.36
4,,,,,,,,,,2,c6,14,0.38
4,,,,,,,,,,3,d4,2,0.46
4,,,,,,,,,,4,d5,0,0.42
4,,,,,,,,,,5,e5,4,0.38
4,,,,,,,,,,6,Bf5,2,0.46
4,,,,,,,,,,7,h4,22,0.26
4,,,,,,,,,,8,a6,43,0.66
4,,,,,,,,,,9,c4,19,0.41
4,,,,,,,,,,10,dxc4,14,0.61
4,,,,,,,,,,11,Bxc4,1,0.61
4,,,,,,,,,,12,e6,7,0.61
4,,,,,,,,,,13,Nc3,9,0.59
4,,,,,,,,,,14,h6,0,0.52
4,,,,,,,,,,15,Nge2,6,0.58
4,,,,,,,,,,16,Nd7,4,0.49
4,,,,,,,,,,17,Be3,29,0.22
4,,,,,,,,,,18,Ne7,42,0.65
4,,,,,,,,,,19,Ng3,18,0.37
4,,,,,,,,,,20,Nb6,4,0.47
4,,,,,,,,,,21,Bb3,7,0.37
4,,,,,,,,,,22,Bh7,1,0.38
4,,,,,,,,,,23,Qg4,4,0.34
4,,,,,,,,,,24,a5,22,0.61
4,,,,,,,,,,25,a3,14,0.6
4,,,,,,,,,,26,a4,7,0.65
4,,,,,,,,,,27,Ba2,10,0.57
4,,,,,,,,,,28,Nf5,1,0.63
4,,,,,,,,,,29,Rd1,11,0.39
4,,,,,,,,,,30,Nd5,4,0.35
4,,,,,,,,,,31,Bc1,7,0.26
4,,,,,,,,,,32,Nxg3,10,0.36
4,,,,,,,,,,33,Qxg3,33,0.0
4,,,,,,,,,,34,Bc2,5,-0.06
4,,,,,,,,,,35,Rd2,3,0.14
4,,,,,,,,,,36,Bf5,10,0.0
4,,,,,,,,,,37,Bc4,10,-0.1
4,,,,,,,,,,38,Qb6,29,0.29
4,,,,,,,,,,39,O-O,10,0.34
4,,,,,,,,,,40,g6,2,0.41
4,,,,,,,,,,41,h5,20,0.24
4,,,,,,,,,,42,gxh5,33,0.54
4,,,,,,,,,,43,Bd3,34,0.2
4,,,,,,,,,,44,Ne7,3,0.16
4,,,,,,,,,,45,Qh4,23,-0.07
4,,,,,,,,,,46,Rg8,19,-0.02
4,,,,,,,,,,47,Bxf5,1,-0.01
4,,,,,,,,,,48,Nxf5,0,0.0
4,,,,,,,,,,49,Qxh5,0,0.0
4,,,,,,,,,,50,Be7,0,0.0
4,,,,,,,,,,51,Rd3,0,0.0
4,,,,,,,,,,52,Rg6,36,0.36
4,,,,,,,,,,53,d5,74,-0.45
4,,,,,,,,,,54,Ng7,1,-0.53
4,,,,,,,,,,55,Qh3,11,-0.52
4,,,,,,,,,,56,exd5,18,-0.39
4,,,,,,,,,,57,Be3,31,-0.76
4,,,,,,,,,,58,Qa6,114,0.46
4,,,,,,,,,,59,Rfd1,51,0.0
4,,,,,,,,,,60,h5,50,0.5
4,,,,,,,,,,61,Ne2,8,0.45
4,,,,,,,,,,62,Ne6,22,0.8
4,,,,,,,,,,63,f4,152,-0.82
4,,,,,,,,,,64,Nc5,138,0.59
4,,,,,,,,,,65,f5,68,0.0
4,,,,,,,,,,66,Rg8,144,1.29
4,,,,,,,,,,67,R3d2,31,1.08
4,,,,,,,,,,68,Ne4,36,1.69
4,,,,,,,,,,69,Rc2,227,-0.86
4,,,,,,,,,,70,Bg5,16,-0.85
4,,,,,,,,,,71,Bd4,45,-1.03
4,,,,,,,,,,72,O-O-O,24,-0.82
4,,,,,,,,,,73,Nc3,46,-1.35
4,,,,,,,,,,74,Kb8,68,-0.77
4,,,,,,,,,,75,Qf3,74,-1.67
4,,,,,,,,,,76,Qc4,138,-0.6
4,,,,,,,,,,77,Nxe4,249,-3.23
4,,,,,,,,,,78,Qxc2,4,-3.82
4,,,,,,,,,,79,Nd6,33,-3.95
4,,,,,,,,,,80,Bf4,3,-4.13
4,,,,,,,,,,81,Rf1,37,-4.4
4,,,,,,,,,,82,Rxd6,8,-4.58
4,,,,,,,,,,83,Rf2,27,-4.81
4,,,,,,,,,,84,Qc1+,0,-4.9
4,,,,,,,,,,85,Rf1,9,-4.83
4,,,,,,,,,,86,Qd2,4,-4.96
,,,,,,,,,,,,,
